time,price,size
1725261431690,188730,1
1725261431690,188730,1
1725261432279,188720,2
1725261432279,188720,2
1725261433279,188720,1
1725261434947,188730,1
1725261437695,188730,3
1725261438535,188760,1
1725261438535,188760,1
1725261438949,188770,1
1725261439698,188780,1
1725261440538,188800,1
1725261441953,188820,1
1725261442294,188810,1
1725261442542,188800,1
1725261443543,188780,1
1725261444207,188780,2
1725261445294,188800,1
1725261445294,188800,1
1725261449461,188840,2
1725261449461,188840,2
1725261450963,188800,1
1725261450963,188800,1
1725261454305,188810,3
1725261454305,188810,3
1725261454467,188800,2
1725261454467,188800,2
1725261454717,188810,1
1725261454717,188810,1
1725261456562,188850,4
1725261456562,188850,4
1725261461314,188830,1
1725261461314,188830,1
1725261466731,188840,1
1725261467321,188820,1
1725261469485,188810,1
1725261473990,188820,1
1725261475492,188830,2
1725261475492,188830,2
1725261477495,188850,2
1725261477995,188860,1
1725261477995,188860,1
1725261478996,188830,3
1725261478996,188830,3
1725261484385,188820,1
1725261484385,188820,1
1725261488351,188840,4
1725261488351,188840,4
1725261489009,188840,2
1725261490351,188840,1
1725261492352,188860,2
1725261492352,188860,2
1725261495521,188840,1
1725261495521,188840,1
1725261498773,188860,2
1725261498773,188860,2
1725261499023,188870,1
1725261499023,188870,1
1725261499362,188880,1
1725261501525,188900,1
1725261509371,188910,2
1725261509371,188910,2
1725261512538,188890,1
1725261512538,188890,1
1725261516803,188910,2
1725261516803,188910,2
1725261519045,188920,1
1725261519045,188920,1
1725261520049,188910,2
1725261520049,188910,2
1725261520800,188910,1
1725261522052,188920,2
1725261522052,188920,2
1725261523393,188910,2
1725261525554,188930,1
1725261525554,188930,1
1725261525804,188930,3
1725261527393,188930,1
1725261531432,188900,1
1725261534567,188890,1
1725261534818,188880,2
1725261534818,188880,2
1725261539574,188870,1
1725261539574,188870,1
1725261541413,188850,1
1725261543078,188840,1
1725261544079,188840,2
1725261544829,188840,1
1725261545422,188800,1
1725261547424,188800,2
1725261548834,188790,1
1725261548834,188790,1
1725261550838,188800,1
1725261553090,188790,2
1725261553090,188790,2
1725261554594,188780,1
1725261554594,188780,1
1725261559599,188790,1
1725261567611,188780,1
1725261570457,188760,1
1725261571458,188770,1
1725261572868,188770,3
1725261574619,188770,1
1725261575463,188750,1
1725261576622,188740,1
1725261578626,188750,4
1725261578626,188750,4
1725261579880,188740,1
1725261579880,188740,1
1725261580127,188730,1
1725261581628,188720,1
1725261584132,188720,2
1725261584896,188720,1
1725261585133,188730,1
1725261587150,188720,1
1725261588137,188730,1
1725261589139,188720,2
1725261589139,188720,2
1725261589888,188720,1
1725261590481,188700,1
1725261594144,188690,2
1725261594144,188690,2
1725261594895,188690,1
1725261595325,188680,2
1725261595325,188680,2
1725261597237,188670,1
1725261597237,188670,1
1725261597648,188680,1
1725261600652,188650,1
1725261600903,188640,2
1725261600903,188640,2
1725261601153,188600,1
1725261601153,188600,1
1725261601688,188620,1
1725261601904,188630,1
1725261602154,188650,1
1725261602494,188670,1
1725261602715,188640,1
1725261604407,188640,3
1725261605264,188640,1
1725261605410,188650,1
1725261605909,188660,1
1725261611509,188610,1
1725261613258,188590,1
1725261614421,188610,1
1725261616321,188610,2
1725261617265,188630,1
1725261617265,188630,1
1725261617517,188620,2
1725261617517,188620,2
1725261619517,188640,2
1725261621272,188600,1
1725261621272,188600,1
1725261621930,188610,1
1725261622682,188620,2
1725261622682,188620,2
1725261627492,188610,1
